n_gt,n_pred,tp,fp,fn,precision,recall,f1,mean_dstart_ms,mean_dend_ms,recall_q1,f1_q1,recall_q2,f1_q2,recall_q3,f1_q3,tape,model,variant
57,571,6,565,51,0.010507880910683012,0.10526315789473684,0.019108280254777073,296.16666666663605,385.4999999999791,0.0,,0.07317073170731707,0.1276595744680851,0.21428571428571427,0.3,UNKN_20250205_3nd_obs.wav,v1_random,len500_hop050_th20
0,595,0,595,0,0.0,0.0,0.0,,,,,,,,,UNKN_20250209.wav,v1_random,len500_hop050_th20
5,1119,0,1119,5,0.0,0.0,0.0,,,,,0.0,,,,x_20250205_2nd_obs.wav,v1_random,len500_hop050_th20
1,1240,0,1240,1,0.0,0.0,0.0,,,0.0,,,,,,388_20250204.wav,v1_random,len500_hop050_th10
0,1247,0,1247,0,0.0,0.0,0.0,,,,,,,,,388_20250204_2nd_Obs.wav,v1_random,len500_hop050_th10
7,911,0,911,7,0.0,0.0,0.0,,,0.0,,0.0,,,,4212_20250205.wav,v1_random,len500_hop050_th10
1,444,1,443,0,0.0022522522522522522,1.0,0.00449438202247191,341.0000000001219,378.00000000015643,,,,,1.0,1.0,7919_20250203.wav,v1_random,len500_hop050_th10
1,956,0,956,1,0.0,0.0,0.0,,,0.0,,,,,,PINK_20250203.wav,v1_random,len500_hop050_th10
37,1038,3,1035,34,0.002890173410404624,0.08108108108108109,0.005581395348837209,364.99999999999017,376.0,0.0,,0.15,0.2608695652173913,0.0,,TINA_20250203_v2.wav,v1_random,len500_hop050_th10
52,0,0,0,52,0.0,0.0,0.0,,,,,0.0,,0.0,,UNKN_20250203_05.23.wav,v1_random,len500_hop050_th10
0,826,0,826,0,0.0,0.0,0.0,,,,,,,,,UNKN_20250203_05.wav,v1_random,len500_hop050_th10
16,471,0,471,16,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,UNKN_20250205.wav,v1_random,len500_hop050_th10
1,1045,0,1045,1,0.0,0.0,0.0,,,,,0.0,,,,UNKN_20250205_(1).wav,v1_random,len500_hop050_th10
3,416,0,416,3,0.0,0.0,0.0,,,,,0.0,,,,UNKN_20250205_2nd_obs.wav,v1_random,len500_hop050_th10
57,568,3,565,54,0.00528169014084507,0.05263157894736842,0.009600000000000001,314.00000000000244,417.33333333339334,0.0,,0.04878048780487805,0.0909090909090909,0.07142857142857142,0.11764705882352941,UNKN_20250205_3nd_obs.wav,v1_random,len500_hop050_th10
0,720,0,720,0,0.0,0.0,0.0,,,,,,,,,UNKN_20250209.wav,v1_random,len500_hop050_th10
5,1003,0,1003,5,0.0,0.0,0.0,,,,,0.0,,,,x_20250205_2nd_obs.wav,v1_random,len500_hop050_th10
1,1039,0,1039,1,0.0,0.0,0.0,,,0.0,,,,,,388_20250204.wav,v1_random,len500_hop050_th50
0,967,0,967,0,0.0,0.0,0.0,,,,,,,,,388_20250204_2nd_Obs.wav,v1_random,len500_hop050_th50
7,615,0,615,7,0.0,0.0,0.0,,,0.0,,0.0,,,,4212_20250205.wav,v1_random,len500_hop050_th50
1,191,1,190,0,0.005235602094240838,1.0,0.010416666666666668,341.0000000001219,378.00000000015643,,,,,1.0,1.0,7919_20250203.wav,v1_random,len500_hop050_th50
1,640,0,640,1,0.0,0.0,0.0,,,0.0,,,,,,PINK_20250203.wav,v1_random,len500_hop050_th50
37,563,7,556,30,0.012433392539964476,0.1891891891891892,0.02333333333333333,337.5714285714386,358.2857142857075,0.14285714285714285,0.19047619047619047,0.2,0.29629629629629634,0.3333333333333333,0.2,TINA_20250203_v2.wav,v1_random,len500_hop050_th50
52,0,0,0,52,0.0,0.0,0.0,,,,,0.0,,0.0,,UNKN_20250203_05.23.wav,v1_random,len500_hop050_th50
0,1102,0,1102,0,0.0,0.0,0.0,,,,,,,,,UNKN_20250203_05.wav,v1_random,len500_hop050_th50
16,712,1,711,15,0.0014044943820224719,0.0625,0.002747252747252747,1223.0000000000132,168.00000000000637,0.0,,0.0,,1.0,1.0,UNKN_20250205.wav,v1_random,len500_hop050_th50
1,1010,0,1010,1,0.0,0.0,0.0,,,,,0.0,,,,UNKN_20250205_(1).wav,v1_random,len500_hop050_th50
3,675,0,675,3,0.0,0.0,0.0,,,,,0.0,,,,UNKN_20250205_2nd_obs.wav,v1_random,len500_hop050_th50
57,718,8,710,49,0.011142061281337047,0.14035087719298245,0.02064516129032258,282.6249999999675,581.4999999999806,0.0,,0.12195121951219512,0.20408163265306123,0.21428571428571427,0.2727272727272727,UNKN_20250205_3nd_obs.wav,v1_random,len500_hop050_th50
0,472,0,472,0,0.0,0.0,0.0,,,,,,,,,UNKN_20250209.wav,v1_random,len500_hop050_th50
5,963,0,963,5,0.0,0.0,0.0,,,,,0.0,,,,x_20250205_2nd_obs.wav,v1_random,len500_hop050_th50
1,993,0,993,1,0.0,0.0,0.0,,,0.0,,,,,,388_20250204.wav,v1_random,len500_hop050_th60
0,892,0,892,0,0.0,0.0,0.0,,,,,,,,,388_20250204_2nd_Obs.wav,v1_random,len500_hop050_th60
7,557,0,557,7,0.0,0.0,0.0,,,0.0,,0.0,,,,4212_20250205.wav,v1_random,len500_hop050_th60
